form_id,writer_id,num_lines
b04-054,109,7
b04-060,109,7
b04-066,109,7
b04-075,109,6
b04-081,110,7
b04-089,110,8
b04-096,110,8
b04-103,110,7
b04-107,111,9
b04-116,111,8
b04-121,111,7
b04-128,111,7
b04-134,112,10
b04-140,112,9
b04-147,112,8
b04-154,112,8
b04-162,113,9
b04-169,113,8
b04-175,113,9
b04-181,113,8
b04-187,114,8
b04-195,114,7
b04-202,114,8
b04-208,114,3
b05-017,115,6
b05-032,116,11
b05-038,117,9
b05-042,117,11
b05-045,117,10
b05-050,117,9
b05-055,118,5
b05-058,118,6
b05-062,118,6
b05-067,118,7
b05-071,118,6
b05-074,119,11
b05-079,120,10
b05-083,121,9
b05-088,122,8
b05-098,121,10
b06-000,123,8
b06-004,124,8
b06-008,125,10
b06-012,126,6
b06-015,127,11
b06-019,128,10
b06-023,123,8
b06-027,129,10
b06-032,130,7
b06-036,126,8
b06-042,131,11
b06-045,132,9
b06-049,124,10
b06-053,127,11
b06-056,125,11
b06-059,130,11
b06-064,133,11
b06-068,131,11
b06-071,128,10
b06-075,124,11
b06-079,130,10
b06-082,132,10
b06-087,134,9
b06-090,134,8
b06-093,125,11
b06-097,123,8
b06-100,133,10
b06-110,126,8
c01-009,135,11
c01-014,135,11
c01-066,136,10
c02-000,137,10
c02-003,138,9
c02-007,139,9
c02-012,140,10
c02-017,139,10
c02-022,140,9
c02-026,141,9
c02-030,142,9
c02-035,143,6
c02-049,144,11
c02-056,145,9
c02-059,146,11
c02-078,147,10
c02-082,148,10
c02-089,149,7
c03-000a,150,8
c03-000b,151,7
c03-000c,152,8
c03-000d,153,8
c03-000e,154,8
c03-000f,155,9
c03-003a,150,9
c03-003b,151,8
c03-003c,152,9
c03-003d,153,9
c03-003e,154,9
c03-003f,155,10
c03-007,156,8
c03-007a,150,8
c03-007b,151,8
c03-007c,152,9
c03-007d,153,9
c03-007e,154,9
c03-007f,155,9
c03-016a,150,10
c03-016b,151,10
c03-016c,152,10
c03-016d,153,11
c03-016e,154,11
c03-021a,150,10
c03-021b,151,9
c03-021c,152,10
c03-021d,153,10
c03-021e,154,11
c03-021f,155,10
c03-081a,150,10
c03-081b,151,10
c03-081c,152,9
c03-081d,153,11
c03-081e,154,11
c03-081f,155,10
c03-084a,150,8
c03-084b,151,8
c03-084c,152,7
c03-084d,153,9
c03-084e,154,8
c03-084f,155,9
c03-087a,150,9
c03-087b,151,9
c03-087c,152,8
c03-087d,153,10
c03-087e,154,9
c03-087f,155,9
c03-094a,150,10
c03-094b,151,10
c03-094c,152,9
c03-094d,153,11
c03-094e,154,10
c03-094f,155,10
c03-096a,150,9
c03-096b,151,8
c03-096c,152,8
c03-096d,153,9
c03-096e,154,8
c03-096f,155,9
c04-000,157,5
c04-004,157,8
c04-008,158,9
c04-013,158,7
c04-017,159,8
c04-023,160,6
c04-028,160,8
c04-035,159,8
c04-039,161,9
c04-044,161,9
c04-050,162,9
c04-056,162,9
c04-061,163,7
c04-066,163,9
c04-075,164,7
c04-080,165,7
c04-089,166,8
c04-098,166,7
c04-105,167,8
c04-110,168,4
c04-116,168,4
c04-122,164,8
c04-128,165,8
c04-134,169,7
c04-139,169,7
c04-144,170,8
c04-150,170,8
c04-156,171,7
c04-160,171,10
c04-165,172,9
c04-170,172,5
c06-000,130,7
c06-005,125,9
c06-011,173,9
c06-014,129,10
c06-020,125,8
c06-027,128,8
c06-031,130,8
c06-039,123,8
c06-043,133,10
c06-047,132,7
c06-052,126,7
c06-058,131,7
c06-076,128,10
c06-080,133,10
c06-083,174,9
c06-087,126,8
c06-091,132,6
c06-095,131,8
c06-100,123,8
c06-103,129,10
c06-106,127,11
c06-111,124,8
c06-116,133,11
c06-128,128,9
c06-138,129,11
d01-016,175,4
d01-019,175,6
d01-024,176,9
d01-049,177,9
d01-052,177,8
d01-056,178,10
d01-060,178,10
d01-080,179,8
d01-085,179,7
d01-098,180,8
d01-104,180,9
d01-118,181,7
d01-123,181,8
d03-112,182,9
d03-117,183,9
d04-005,184,8
d04-008,184,6
d04-012,185,11
d04-016,185,9
d04-021,186,8
d04-028,186,7
d04-032,187,11
d04-037,187,7
d04-047,188,9
d04-050,189,6
d04-053,188,11
d04-058,190,7
d04-062,190,5
d04-066,191,10
d04-071,192,8
d04-075,192,10
d04-081,193,9
d04-086,194,7
d04-089,194,8
d04-096,195,8
d04-101,195,6
d04-111,196,12
d04-117,197,8
d04-121,197,7
d04-125,198,6
d04-131,198,7
d05-008,199,8
d05-013,200,9
d05-021,199,9
d05-025,199,10
d05-030,199,9
d05-040,201,6
d06-000,202,10
d06-003,203,7
d06-008,173,10
d06-011,204,10
d06-015,174,6
d06-020,173,10
d06-025,205,8
d06-027,206,8
d06-030,174,6
d06-037,207,8
d06-041,208,8
d06-046,173,10
d06-050,174,7
d06-056,206,9
d06-060,208,10
d06-063,173,11
d06-067,205,10
d06-072,207,11
d06-076,203,6
d06-082,174,6
d06-086,208,11
d06-091,202,11
d06-096,206,9
d06-100,207,8
d06-104,205,11
d06-107,204,11
d06-111,203,7
d06-113,208,5
d07-082,209,9
d07-085,209,8
d07-089,209,11
d07-093,209,9
d07-096,209,10
d07-100,209,10
d07-102,209,8
e01-014,210,7
e01-018,210,9
e01-022,211,7
e01-025,211,11
e01-029,212,9
e01-032,212,11
e01-035,212,8
e01-050,213,8
e01-055,181,10
e01-059,213,7
e01-062,213,8
e01-081,214,6
e01-086,214,7
e01-092,215,8
e01-102,215,9
e01-107,216,10
e01-113,216,8
e01-119,217,8
e02-000,218,8
e02-014,219,7
e02-018,220,7
e02-021,221,9
e02-025,222,11
e02-074,223,11
e02-082,224,9
e02-086,225,10
e02-091,226,9
e02-094,227,10
e02-100,228,7
e02-117,229,9
e04-000,158,8
e04-004,230,7
e04-008,230,5
e04-011,231,9
e04-015,231,8
e04-019,232,9
e04-022,232,8
e04-026,233,7
e04-030,233,7
e04-034,234,8
e04-038,234,7
e04-043,235,8
e04-052,235,8
e04-058,236,7
e04-062,237,9
e04-068,237,7
e04-079,238,10
e04-083,239,7
e04-086,240,7
e04-091,241,6
e04-095,241,7
e04-099,241,7
e04-103,242,7
e04-109,242,7
e04-114,242,8
e04-119,243,6
e04-124,243,7
e04-127,243,7
e04-132,241,5
e06-000,206,8
e06-003,204,11
e06-006,202,11
e06-010,203,8
e06-015,204,10
e06-021,206,11
e06-026,205,10
e06-030,204,11
e06-033,207,10
e06-037,202,11
e06-041,202,10
e06-046,203,6
e06-049,205,10
e06-053,208,9
e06-070,207,10
e07-000,085,7
e07-003,244,10
e07-007,245,8
e07-012,246,12
e07-061,246,11
e07-066,246,9
e07-072,246,12
e07-076,247,10
e07-079,247,11
e07-083,247,11
e07-086,247,10
e07-090,247,10
e07-094,248,9
e07-098,248,10
e07-101,248,11
e07-105,248,8
e07-108,248,11
e07-112,249,6
f01-053,250,9
f01-058,250,10
f01-066,251,10
f01-070,252,9
f01-075,253,11
f01-081,254,7
f01-085,254,7
f01-135,255,11
f01-139,217,8
f01-143,256,7
f01-147,256,9
f02-000,257,9
f02-003,258,6
f02-017,259,9
f02-020,260,8
f02-030,261,7
f02-033,259,12
f02-036,262,9
f02-038,263,11
f02-040,264,10
f02-044,265,11
f02-076,266,10
f03-169,267,7
f03-174,268,6
f03-182,269,8
f03-191,270,7
f04-004,272,8
f04-007,273,7
f04-011,272,11
f04-016,272,8
f04-020,274,6
f04-024,275,8
f04-028,275,11
f04-032,276,10
f04-035,276,6
f04-039,277,9
f04-043,277,8
f04-046,278,6
f04-049,278,7
f04-053,279,7
f04-057,279,10
f04-061,280,8
f04-064,280,9
f04-068,281,8
f04-071,281,10
f04-074,282,12
f04-079,282,11
f04-083,283,10
f04-087,283,6
f04-093,193,10
f04-096,193,11
f04-100,193,11
f07-000,285,9
f07-000b,286,7
f07-002,286,9
f07-006,286,7
f07-009,286,10
f07-013,287,11
f07-016,287,11
f07-019a,288,9
f07-019b,287,11
f07-021a,288,8
f07-021b,287,10
f07-024a,288,9
f07-024b,287,11
f07-028a,288,10
f07-028b,289,12
f07-032a,288,11
f07-032b,289,12
f07-036,289,9
f07-039a,285,7
f07-039b,289,9
f07-042a,285,8
f07-042b,289,8
f07-046a,285,10
f07-046b,290,9
f07-069,291,10
f07-073,291,10
f07-076a,292,11
f07-081a,292,11
f07-081b,291,7
f07-084a,292,11
f07-084b,291,9
f07-088a,292,10
f07-088b,293,7
f07-092a,292,9
f07-092b,293,7
f07-096,293,7
f07-101a,294,8
f07-101b,293,5
g01-000,217,9
g01-004,295,6
g01-008,295,9
g01-012,296,7
g01-016,296,8
g01-019,296,10
g01-022,297,10
g01-025,297,10
g01-027,297,10
g01-031,298,11
g01-034,298,9
g01-037,298,10
g01-039,299,10
g01-043,299,10
g01-045,299,10
g01-067,300,10
g01-070,300,10
g01-074,300,10
g01-083,301,11
g01-088,302,10
g02-059,303,8
g02-062,304,10
g02-065,305,10
g02-073,307,6
g03-000,308,10
g03-004,309,6
g03-016,310,9
g03-032,312,8
g03-040,313,8
g03-043,314,11
g03-049,315,8
g03-052,316,11
g03-058,317,8
g03-064,318,8
g04-003,239,9
g04-007,273,8
g04-011,273,9
g04-014,273,6
g04-017,274,8
g04-022,319,8
g04-026,274,7
g04-032,274,6
g04-036,320,8
g04-039,320,8
g04-043,321,9
g04-048,321,8
g04-052,322,7
g04-055,323,10
g04-060,324,7
g04-063,324,10
g04-068,325,10
g04-072,325,9
g04-077,326,7
g04-081,327,6
g04-088,328,12
g04-092,328,11
g04-095,273,9
g04-098,329,7
g04-101,329,7
g04-104,330,9
g04-108,330,3
g05-087,331,7
g05-094,119,10
g05-098,118,7
g06-011a,332,11
g06-011b,333,11
g06-011c,334,10
g06-011e,336,9
g06-011f,337,8
g06-011g,338,9
g06-011h,339,10
g06-011i,340,9
g06-011j,341,11
g06-011k,342,11
g06-011l,343,9
g06-011m,344,10
g06-011n,345,11
g06-011o,346,11
g06-011p,347,9
g06-011r,348,9
g06-018a,332,8
g06-018b,333,10
g06-018c,334,8
g06-018d,335,8
g06-018e,336,7
g06-018f,337,6
g06-018g,338,7
g06-018h,339,8
g06-018i,340,7
g06-018j,341,9
g06-018k,342,8
g06-018l,343,7
g06-018m,344,8
g06-018n,345,11
g06-018o,346,10
g06-018p,347,8
g06-018r,348,7
g06-026a,332,7
g06-026b,333,9
g06-026c,334,6
g06-026d,335,6
g06-026e,336,6
g06-026f,337,5
g06-026g,338,5
g06-026h,339,6
g06-026i,340,6
g06-026j,341,7
g06-026k,342,7
g06-026l,343,6
g06-026m,344,7
g06-026n,345,8
g06-026o,346,8
g06-026p,347,6
g06-026r,348,6
g06-031a,332,9
g06-031b,333,11
g06-031c,334,8
g06-031d,335,8
g06-031e,336,7
g06-031f,337,6
g06-031g,338,7
g06-031h,339,9
g06-031i,340,7
g06-031j,341,10
g06-031k,342,9
g06-031l,343,7
g06-031m,344,9
g06-031n,345,11
g06-031o,346,11
g06-031p,347,8
g06-031r,348,8
g06-037b,333,10
g06-037c,334,11
g06-037d,335,10
g06-037e,336,9
g06-037f,337,8
g06-037g,338,9
g06-037h,339,11
g06-037i,340,10
g06-037j,341,11
g06-037k,342,10
g06-037l,343,10
g06-037m,344,11
g06-037n,345,11
g06-037o,346,11
g06-037p,347,10
g06-037r,348,10
g06-042a,332,7
g06-042b,333,8
g06-042c,334,6
g06-042d,335,5
g06-042e,336,6
g06-042f,337,5
g06-042g,338,5
g06-042h,339,7
g06-042i,340,5
g06-042j,341,7
g06-042k,342,6
g06-042l,343,5
g06-042m,344,7
g06-042n,345,8
g06-042o,346,8
g06-042p,347,6
g06-042r,348,6
g06-045a,332,8
g06-045b,333,10
g06-045c,334,7
g06-045d,335,7
g06-045e,336,7
g06-045f,337,6
g06-045g,338,6
g06-045h,339,8
g06-045i,340,7
g06-045j,341,9
g06-045k,342,7
g06-045l,343,7
g06-045m,344,9
g06-045n,345,10
g06-045o,346,10
g06-045p,347,7
g06-045r,348,7
g06-047a,332,8
g06-047b,333,8
g06-047c,334,8
g06-047d,335,7
g06-047e,336,6
g06-047f,337,6
g06-047g,338,6
g06-047h,339,7
g06-047i,340,7
g06-047j,341,9
g06-047k,342,8
g06-047l,343,7
g06-047m,344,9
g06-047n,345,9
g06-047o,346,9
g06-047p,347,7
g06-047r,348,7
g06-050a,332,9
g06-050b,333,9
g06-050c,334,9
g06-050d,335,8
g06-050e,336,7
g06-050f,337,6
g06-050g,338,7
g06-050h,339,8
g06-050i,340,8
g06-050j,341,10
g06-050k,342,9
g06-050l,343,8
g06-050m,344,10
g06-050n,345,11
g06-050o,346,10
g06-050p,347,7
g06-050r,348,8
g06-089,349,10
g06-093,349,8
g06-096,349,7
g06-101,349,7
g06-105,349,7
g06-109,349,8
g06-115,349,5
g07-000a,294,12
g07-000b,293,10
g07-003a,294,11
g07-003b,350,10
g07-007a,294,11
g07-007b,350,7
g07-010b,350,10
g07-014,351,8
g07-014b,350,5
g07-018a,351,11
g07-022a,351,9
g07-022b,352,7
g07-026a,351,10
g07-026b,352,9
g07-028a,351,7
g07-028b,352,7
g07-030,352,10
g07-034,352,7
g07-038,353,11
g07-042,353,10
g07-044,353,11
g07-047,353,11
g07-050,353,8
g07-065,354,9
g07-069a,354,9
g07-071a,354,11
g07-074a,354,11
g07-077a,354,10
g07-079a,285,12
g07-084,355,8
h01-000,356,11
h01-004,301,6
h01-007,356,10
h01-010,357,8
h01-014,357,9
h01-018,357,7
h01-024,359,9
h01-027,360,11
h01-030,361,10
h02-004,362,10
h02-008,363,7
h02-012,364,10
h02-017,365,8
h02-019,366,9
h02-022,367,9
h02-024,368,8
h02-028,369,9
h02-035,370,10
h02-037,371,10
h02-040,372,10
h02-043,373,10
h02-049,375,8
h04-000,239,10
h04-007,330,9
h04-021,330,9
h04-025,274,7
h04-028,376,11
h04-035,377,8
h04-049,378,10
h04-052,379,10
h04-055,379,9
h04-057,380,10
h04-061,380,11
h04-071,382,6
h04-074,382,8
h04-078,383,7
h04-082,383,12
h05-012,118,7
h06-000,349,8
h06-003,349,11
h06-079,384,9
h06-082,384,11
h06-085,384,11
h06-089,384,12
h06-092,384,10
h06-096,384,8
h07-000,355,7
h07-003,355,10
h07-007,355,10
h07-011,355,6
h07-013,385,11
h07-017,385,10
h07-020,385,9
h07-023,385,9
h07-025,386,11
h07-025a,385,10
h07-028,386,11
h07-028a,387,9
h07-030,386,10
h07-030a,387,10
h07-033,386,10
h07-033a,387,11
h07-037,386,10
h07-037a,387,8
h07-040,388,11
h07-040b,387,11
h07-044a,388,9
h07-051b,388,11
h07-054a,389,9
h07-057a,389,8
h07-060a,389,9
h07-060b,390,10
h07-063a,389,9
h07-063b,390,10
h07-066a,389,7
h07-066b,390,8
h07-069,391,8
h07-069a,390,6
h07-071,391,10
h07-071a,390,10
h07-075,391,8
h07-075a,392,8
h07-078,391,10
h07-078a,392,9
h07-080,391,10
h07-080a,392,10
h07-084,392,10
h07-087,393,3
j01-042,394,10
j01-045,394,10
j01-049,395,8
j01-059,396,11
j01-063,397,8
j01-066,398,12
j01-070,399,7
j04-008,400,9
j04-012,401,10
j04-015,402,9
j04-019,403,11
j04-024,403,10
j04-035,405,10
j04-039,404,9
j04-046,405,11
j04-053,407,7
j04-061,408,7
j04-065,408,9
j04-070,409,11
j04-076,409,6
j04-080,410,9
j04-094,411,9
j04-098,412,11
j04-103,413,7
j04-111,414,10
j04-115,414,8
j06-000,384,11
j06-005,384,10
j06-008,384,11
j06-014,384,12
j06-018,415,11
j06-022,415,11
j06-026,415,10
j06-030,415,11
j06-034,415,11
j06-051,415,11
j06-056,415,11
j07-000,393,8
j07-005,416,9
j07-009,393,8
j07-012,393,9
j07-015,393,7
k01-051,417,10
k02-018,418,8
k02-023,419,7
k02-029,420,6
k02-036,421,8
k02-053,422,8
k02-062,423,9
k02-067,424,8
k02-076,425,10
k02-093,426,6
k02-097,427,10
k02-102,428,8
k02-112,429,7
k02-117,430,10
k03-117,431,9
k03-138,432,7
k03-144,433,9
k03-152,434,8
k03-157,435,7
k03-164,436,9
k03-180,420,6
k04-000,439,6
k04-005,406,7
k04-010,440,11
k04-014,441,7
k04-017,239,10
k04-022,240,8
k04-028,442,8
k04-033,442,9
k04-039,439,8
k04-050,443,7
k04-054,443,10
k04-057,444,8
k04-061,444,9
k04-064,445,6
k04-068,445,9
k04-075,446,8
k04-079,446,11
k04-085,447,8
k04-093,447,9
k04-099,448,7
k04-103,448,8
k04-106,449,7
k04-110,450,11
k04-115,450,8
k04-119,449,7
k04-126,451,7
k04-136,451,9
k04-142,452,7
k04-149,452,7
k04-156,453,7
k04-163,453,8
k07-059a,454,9
k07-063a,454,7
k07-067a,454,6
k07-077,454,7
k07-085,454,7
k07-122,455,9
k07-125,455,7
k07-134,455,8
k07-141,455,8
k07-146,455,9
k07-152,456,8
k07-158,456,9
k07-166,456,10
k07-176,456,12
k07-185,456,12
l01-000,457,11
l01-007,458,6
l01-016,458,7
l01-023,458,7
l01-030,459,9
l01-050,460,9
l01-065,461,12
l01-082,462,5
l01-095,463,9
l01-105,464,11
l01-111,465,9
l01-119,466,8
l01-129,467,8
l01-133,468,9
l01-143,469,7
l01-157,470,8
l01-173,471,8
l01-179,472,9
l01-187,473,11
l01-195,474,8
l01-199,475,11
l03-000,476,8
l03-004,477,10
l03-008,478,10
l04-000,479,5
l04-005,480,7
l04-012,480,8
l04-020,481,7
l04-026,481,8
l04-034,482,9
l04-043,482,9
l04-052,483,9
l04-062,483,10
l04-066,484,8
l04-071,484,9
l04-082,485,9
l04-087,486,6
l04-093,486,8
l04-098,487,8
l04-102,487,9
l04-106,488,7
l04-113,488,6
l04-118,489,8
l04-124,489,10
l04-130,490,10
l04-136,490,8
l04-141,491,7
l04-147,491,6
l04-153,492,8
l04-159,492,9
l04-163,493,9
l04-170,493,8
l04-174,494,6
l04-179,494,8
l07-052,495,5
l07-065,495,5
l07-074,495,6
l07-080,496,10
l07-085,496,9
l07-103,496,8
l07-111,496,12
l07-118,497,7
l07-131,497,8
l07-135,497,9
l07-138,497,7
l07-172,498,11
l07-176,498,7
l07-181,498,9
l07-187,498,9
l07-190,498,5
m01-000,499,8
m01-012,500,11
m01-017,501,8
m01-022,502,6
m01-026,503,8
m01-032,504,9
m01-038,505,10
m01-049,506,12
m01-060,508,8
m01-079,509,7
m01-084,510,8
m01-090,511,8
m01-095,512,8
m01-100,364,7
m01-104,513,8
m01-110,514,12
m01-115,515,9
m01-121,513,9
m01-125,516,11
m01-131,514,7
m01-136,517,11
m01-149,518,8
m01-160,519,7
m02-048,520,11
m02-052,521,7
m02-055,522,11
m02-059,523,7
m02-066,524,6
m02-069,525,9
m02-072,526,7
m02-075,527,8
m02-080,528,10
m02-083,529,12
m02-087,530,8
m02-090,531,11
m02-095,532,10
m02-102,533,11
m02-106,527,10
m02-109,534,9
m02-112,535,6
m03-006,536,10
m03-013,537,7
m03-020,538,6
m03-033,539,8
m03-062,540,9
m03-095,541,9
m03-110,542,10
m03-114,542,10
m03-118,543,6
m04-000,544,8
m04-007,544,10
m04-012,544,10
m04-019,544,8
m04-024,544,8
m04-030,545,5
m04-038,545,6
m04-043,545,5
m04-061,545,5
m04-072,546,11
m04-078,546,8
m04-081,546,11
m04-093,546,10
m04-100,546,8
m04-107,547,11
m04-113,547,11
m04-123,547,11
m04-131,547,9
m04-138,547,10
m04-145,548,8
m04-152,548,8
m04-164,548,8
m04-180,548,8
m04-190,549,10
m04-200,549,8
m04-209,549,7
m04-216,549,7
m04-222,549,8
m04-231,550,7
m04-238,550,6
m04-246,550,7
m04-251,548,3
m06-019,551,8
m06-031,552,7
m06-042,552,6
m06-048,552,8
m06-056,552,6
m06-067,552,7
m06-076,552,7
m06-083,552,8
m06-091,552,7
m06-098,552,7
m06-106,552,10
n01-000,553,8
n01-004,554,7
n01-009,553,9
n01-020,555,10
n01-031,555,9
n01-036,556,6
n01-045,555,10
n01-052,557,13
n01-057,558,10
n02-000,559,8
n02-004,560,9
n02-009,560,7
n02-016,559,8
n02-028,561,10
n02-033,562,10
n02-037,562,9
n02-040,563,8
n02-045,563,9
n02-049,561,6
n02-054,564,10
n02-062,565,8
n02-082a,566,7
n02-098,567,8
n02-104,315,8
n02-109,315,8
n02-114,315,10
n02-120,315,8
n02-127,315,8
n02-146,081,7
n02-151,568,11
n02-154,569,7
n02-157,570,9
n03-038,571,7
n03-064,572,6
n03-066,573,8
n03-079,574,7
n03-082,575,8
n03-091,576,9
n03-097,577,9
n03-103,577,10
n03-106,578,12
n03-113,579,10
n03-120,580,10
n03-126,581,5
n04-000,550,6
n04-009,550,7
n04-015,582,8
n04-022,582,8
n04-031,582,8
n04-039,582,6
n04-044,582,11
n04-048,583,10
n04-052,583,9
n04-060,583,7
n04-068,583,8
n04-075,583,8
n04-084,584,7
n04-092,584,9
n04-100,584,8
n04-107,584,9
n04-114,584,9
n04-130,585,6
n04-139,585,9
n04-149,585,8
n04-156,585,8
n04-163,585,9
n04-171,586,7
n04-183,586,7
n04-190,586,7
n04-195,586,6
n04-202,587,9
n04-209,587,8
n04-213,587,8
n04-218,587,10
n06-074,588,7
n06-082,588,8
n06-092,588,9
n06-100,588,10
n06-111,588,8
n06-119,588,7
n06-123,588,11
n06-128,588,9
n06-133,588,9
n06-140,588,8
n06-148,551,9
n06-156,551,8
n06-163,551,10
n06-169,551,9
n06-175,551,10
n06-182,551,8
n06-186,551,8
n06-194,551,8
n06-201,551,8
p01-147,589,12
p01-155,590,10
p01-168,591,8
p01-174,592,9
p02-000,593,7
p02-008,594,11
p02-017,595,8
p02-022,596,9
p02-027,597,5
p02-069,598,10
p02-076,599,11
p02-081,599,10
p02-090,598,9
p02-101,600,8
p02-105,601,8
p02-109,602,9
p02-115,603,9
p02-121,604,6
p02-127,605,7
p02-131,606,8
p02-135,607,9
p02-139,608,6
p02-144,609,12
p02-150,610,9
p02-155,611,2
p03-004,612,12
p03-009,613,7
p03-012,614,10
p03-023,615,6
p03-027,616,8
p03-029,617,10
p03-033,618,6
p03-040,619,9
p03-047,620,10
p03-057,567,10
p03-069,621,7
p03-072,622,8
p03-080,623,7
p03-087,567,11
p03-096,567,10
p03-103,567,8
p03-112,567,10
p03-121,624,7
p03-135,625,7
p03-142,626,7
p03-151,627,8
p03-158,628,8
p03-163,629,8
p03-173,630,9
p03-181,631,10
p03-185,632,9
p03-189,633,5
p06-030,634,9
p06-042,634,11
p06-047,634,11
p06-052,634,9
p06-058,634,11
p06-069,634,11
p06-088,634,10
p06-096,634,11
p06-104,634,10
p06-242,635,8
p06-248,635,5
r02-000,636,8
r02-003,637,6
r02-006,638,10
r02-010,639,8
r02-013,640,12
r02-038,641,7
r02-054,642,7
r02-060,643,11
r02-065,644,8
r02-070,645,7
r02-078,647,8
r02-081,648,8
r02-089,649,11
r02-109,650,10
r02-117,651,8
r02-127,652,6
r02-131,653,6
r02-137,654,9
r02-146,655,6
r03-002,658,10
r03-007,658,9
r03-026,659,11
r03-030,660,7
r03-035,661,9
r03-050,662,7
r03-053,315,9
r03-056,663,8
r03-065,664,8
r03-084,665,10
r03-090,666,7
r03-096,667,7
r03-110,668,10
r03-115,669,4
r06-000,635,6
r06-003,635,8
r06-007,635,8
r06-011,635,6
r06-018,635,7
